event_id,latitude,longitude,start,end,end_exclusive,duration_hours,ptype_codes,ptype_labels,dominant_ptype_code,dominant_ptype_label,freezing_liquid_hours,wet_snow_hours,temperature_mean_c,temperature_min_c,temperature_max_c,gust_mean_ms,gust_max_ms,precip_rate_mean_mmh,precip_rate_max_mmh,precipitation_water_equivalent_mm,snowfall_rate_mean_mmh,snowfall_rate_max_mmh,snowfall_water_equivalent_mm,tcslw_mean_kgm2,tcslw_max_kgm2
E02653,39.25,21.75,2012-01-06T20:00:00,2012-01-07T16:00:00,2012-01-07T17:00:00,21,6,wet_snow,6,wet_snow,0,21,3.091054281,1.68447876,5.162994385,12.04644694,14.21166897,0.2186025892,1.417922974,4.590654373,0.1655663763,0.7160425186,3.476893902,0.06685384115,0.2383422852
E00238,40.25,21.75,2018-12-31T10:00:00,2019-01-01T06:00:00,2019-01-01T07:00:00,21,6,wet_snow,6,wet_snow,0,21,2.89881679,2.060821533,4.419586182,8.553022112,10.00892258,0.1186507089,0.3064155579,2.491664886,0.1174194472,0.3066301346,2.465808392,0.008428664435,0.02282714844
E03011,39.25,22.25,2012-02-06T23:00:00,2012-02-07T18:00:00,2012-02-07T19:00:00,20,6,wet_snow,6,wet_snow,0,20,3.36239624,2.171051025,4.390289307,10.03833804,18.33976746,2.420597076,5.551958084,48.41194153,1.737443805,3.835773468,34.74887848,0.4737716675,0.8565673828
E02886,39.25,22,2012-02-06T23:00:00,2012-02-07T18:00:00,2012-02-07T19:00:00,20,6,wet_snow,6,wet_snow,0,20,2.291986084,1.26675415,3.095367432,9.393806744,14.97453213,2.258677483,5.593585968,45.17354584,2.100888491,4.873788357,42.01776505,0.4800422668,0.8739929199
E01593,40,22.75,2012-02-07T21:00:00,2012-02-08T16:00:00,2012-02-08T17:00:00,20,6,wet_snow,6,wet_snow,0,20,2.276708984,1.375640869,3.231231689,12.31907969,14.07226562,0.3239679337,0.8806228638,6.479358673,0.2412861586,0.4895567894,4.825723171,0.1787475586,0.4157714844
E02089,39.75,22.5,2015-02-09T06:00:00,2015-02-10T01:00:00,2015-02-10T02:00:00,20,6,wet_snow,6,wet_snow,0,20,2.378912354,1.271392822,3.467926025,11.72625008,13.59286594,0.2163147926,0.7827758789,4.326295853,0.2160009742,0.7826149464,4.320019722,0.03028411865,0.1278991699
E01633,40,22.75,2017-01-10T12:00:00,2017-01-11T07:00:00,2017-01-11T08:00:00,20,6,wet_snow,6,wet_snow,0,20,1.073583984,0.5317687988,1.368804932,8.441496658,12.99885178,0.3822255135,1.46727562,7.644510269,0.3714698553,1.459228992,7.429397106,0.04954223633,0.2086486816
E02812,39.25,21.75,2018-02-15T03:00:00,2018-02-15T22:00:00,2018-02-15T23:00:00,20,6,wet_snow,6,wet_snow,0,20,2.000726318,1.0440979,2.740264893,11.00490274,12.77824306,1.90520525,3.114366531,38.1041069,1.660571694,2.692991495,33.21143341,0.2168136597,0.3424987793
E01528,40,22.5,2012-02-07T21:00:00,2012-02-08T16:00:00,2012-02-08T17:00:00,20,6,wet_snow,6,wet_snow,0,20,0.2079589844,-0.3864440918,0.9441223145,10.50003672,12.24489689,0.2428793907,0.718832016,4.857587814,0.2349990606,0.6335377693,4.699981213,0.1020736694,0.2563476562
E02568,39.5,22.5,2019-02-24T07:00:00,2019-02-25T02:00:00,2019-02-25T03:00:00,20,6,wet_snow,6,wet_snow,0,20,1.727642822,0.1969299316,3.160064697,6.214298439,9.956767082,0.06291389465,0.1828193665,1.258277893,0.06261885166,0.1827120781,1.252377033,0.06533203125,0.1068725586
E01568,40,22.5,2017-01-10T12:00:00,2017-01-11T07:00:00,2017-01-11T08:00:00,20,6,wet_snow,6,wet_snow,0,20,-3.590380859,-5.492279053,-2.134124756,6.651213455,9.054515839,0.3196120262,1.551389694,6.392240524,0.3195261955,1.551818848,6.390523911,0.052003479,0.2239074707
E03108,39.25,22.25,2019-02-25T08:00:00,2019-02-26T03:00:00,2019-02-26T04:00:00,20,6,wet_snow,6,wet_snow,0,20,2.355133057,0.6854553223,3.296295166,5.410911322,8.415771484,0.0612616539,0.1793861389,1.225233078,0.05878329277,0.1793861389,1.175665855,0.2317138672,0.3490905762
E02983,39.25,22,2019-02-25T08:00:00,2019-02-26T03:00:00,2019-02-26T04:00:00,20,6,wet_snow,6,wet_snow,0,20,1.225152588,-1.000091553,1.969512939,5.55002265,7.836669922,0.06752729416,0.1922607422,1.350545883,0.06749242544,0.1920461655,1.349848509,0.2427230835,0.3669128418
E01499,40,22.25,2019-12-04T02:00:00,2019-12-04T21:00:00,2019-12-04T22:00:00,20,6,wet_snow,6,wet_snow,0,20,2.15836792,1.490142822,2.898834229,5.179205799,6.810754776,0.5932617188,2.000713348,11.86523438,0.4457643628,1.460248232,8.915287971,0.2097763062,0.3982849121
E02101,39.75,22.5,2016-01-17T22:00:00,2016-01-18T17:00:00,2016-01-18T18:00:00,20,6,wet_snow,6,wet_snow,0,20,2.761407471,1.406646729,4.394073486,4.868004799,5.854164124,0.1779699326,0.3677845001,3.559398651,0.1753360033,0.3676772118,3.506720066,0.03266448975,0.06881713867
E01592,40,22.75,2012-02-07T00:00:00,2012-02-07T18:00:00,2012-02-07T19:00:00,19,6,wet_snow,6,wet_snow,0,19,3.559530158,2.97354126,4.115142822,19.34567441,25.27816772,1.844862888,4.000997543,35.05239868,1.167300187,2.721047401,22.17870522,0.5014592221,1.020111084
E01527,40,22.5,2012-02-07T00:00:00,2012-02-07T18:00:00,2012-02-07T19:00:00,19,6,wet_snow,6,wet_snow,0,19,1.356713546,0.9491271973,2.081939697,18.07596312,25.24398804,1.602323432,4.381227493,30.4441452,1.521377187,3.933084011,28.90616798,0.3381580554,0.6647949219
E00819,40.25,22.75,2019-01-04T19:00:00,2019-01-05T13:00:00,2019-01-05T14:00:00,19,6,wet_snow,6,wet_snow,0,19,2.051955374,1.675201416,2.959869385,13.88318955,15.51642323,1.076452356,1.989555359,20.45259476,0.9271888356,1.697838306,17.61658859,0.1321009586,0.3450317383
E03255,39.25,22.75,2012-02-08T10:00:00,2012-02-09T04:00:00,2012-02-09T05:00:00,19,6,wet_snow,6,wet_snow,0,19,2.54332693,1.4503479,3.405059814,9.56637774,14.25598145,0.9403881274,1.40247345,17.86737442,0.8555004471,1.296579838,16.25450897,0.04819046824,0.09854125977
E01591,40,22.75,2012-02-01T13:00:00,2012-02-02T07:00:00,2012-02-02T08:00:00,19,6,wet_snow,6,wet_snow,0,19,2.917369642,2.034454346,3.700592041,12.40445142,13.84543133,0.8451386502,1.502037048,16.05763435,0.6567967565,1.091015339,12.47913837,0.1535499974,0.2340698242
E02620,39.5,22.75,2015-12-30T21:00:00,2015-12-31T15:00:00,2015-12-31T16:00:00,19,6,wet_snow,6,wet_snow,0,19,2.269574617,1.194976807,4.077545166,11.35496566,13.74401093,0.1875400543,0.3235816956,3.563261032,0.1723164006,0.3125309944,3.274011612,0.02881341231,0.087890625
E01950,39.75,22.25,2012-02-10T08:00:00,2012-02-11T02:00:00,2012-02-11T03:00:00,19,6,wet_snow,6,wet_snow,0,19,1.892724288,1.305450439,2.845123291,8.438991245,11.91139317,0.3949341021,0.8244037628,7.50374794,0.3749728203,0.7420063019,7.124483585,0.1300386128,0.2261047363
E01526,40,22.5,2012-02-01T13:00:00,2012-02-02T07:00:00,2012-02-02T08:00:00,19,6,wet_snow,6,wet_snow,0,19,-0.3120711477,-0.9393005371,0.4034729004,10.3269432,11.64482307,0.9902602748,1.671552658,18.81494522,0.9489203754,1.563620567,18.0294857,0.1605256733,0.2724304199
E01822,39.75,22,2012-02-10T08:00:00,2012-02-11T02:00:00,2012-02-11T03:00:00,19,6,wet_snow,6,wet_snow,0,19,1.431786788,0.7331848145,2.552154541,8.354441492,11.42435646,0.4965305328,0.9304046631,9.434080124,0.4954068284,0.930082798,9.412729263,0.1143076043,0.2085571289
E00776,40.25,22.5,2019-01-04T19:00:00,2019-01-05T13:00:00,2019-01-05T14:00:00,19,6,wet_snow,6,wet_snow,0,19,-0.9843316329,-1.787689209,0.5770568848,9.586006165,10.85885429,0.8440318861,1.657390594,16.03660583,0.8199682361,1.577568054,15.5793972,0.0887981214,0.2247619629
